City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,-8.32,85,75,2.24,RU,1712658084
1,talnakh,69.4865,88.3972,-16.55,90,75,2.7,RU,1712658084
2,ituango,7.1712,-75.764,18.9,96,100,0.98,CO,1712658085
3,tiksi,71.6872,128.8694,-6.11,80,74,8.32,RU,1712658085
4,wanning,18.8003,110.3967,27.98,71,19,3.0,CN,1712658085
5,ntungamo,-0.8833,29.65,29.57,45,68,2.13,UG,1712657788
6,enriquillo,17.9,-71.2333,23.93,87,8,5.37,DO,1712658085
7,tazacorte,28.629,-17.9293,21.19,58,75,9.26,ES,1712658085
8,manismata,-2.4667,111.0333,26.25,89,100,0.79,ID,1712658085
9,khandyga,62.6667,135.6,-5.4,96,100,0.84,RU,1712658085
10,las terrenas,19.311,-69.5428,24.37,75,58,5.67,DO,1712658024
11,invercargill,-46.4,168.35,14.45,96,98,2.44,NZ,1712657810
12,port-aux-francais,-49.35,70.2167,8.67,92,100,18.47,TF,1712658086
13,edinburgh of the seven seas,-37.0676,-12.3116,19.05,91,100,13.49,SH,1712658086
14,grytviken,-54.2811,-36.5092,4.24,98,100,1.78,GS,1712658086
15,puerto natales,-51.7236,-72.4875,5.74,85,100,6.79,CL,1712658086
16,olonkinbyen,70.9221,-8.7187,-3.69,88,52,9.59,SJ,1712658086
17,rongelap,11.1635,166.8941,27.1,83,100,10.41,MH,1712658086
18,adamstown,-25.066,-130.1015,23.53,77,69,2.65,PN,1712658086
19,sunland park,31.7965,-106.58,14.95,17,0,3.6,US,1712657798
20,kalianget,-7.05,113.9333,28.93,75,28,3.05,ID,1712658086
21,qaqortoq,60.7167,-46.0333,-5.44,73,99,3.02,GL,1712658086
22,lahoysk,54.2016,27.8503,23.0,54,30,5.64,BY,1712658053
23,howard springs,-12.497,131.047,28.95,82,100,0.95,AU,1712658087
24,yuanlin,30.4151,112.8859,19.25,76,100,1.83,CN,1712658087
25,atafu village,-8.5421,-172.5159,30.12,76,8,5.71,TK,1712658088
26,caister-on-sea,52.6481,1.7265,11.1,82,84,12.66,GB,1712658088
27,ilulissat,69.2167,-51.1,-7.99,67,100,3.09,GL,1712658088
28,bubaque,11.2833,-15.8333,25.74,56,22,4.26,GW,1712658613
29,oum hadjer,13.2954,19.6966,37.05,7,95,2.77,TD,1712658613
30,udachny,66.4167,112.4,-1.97,78,99,8.39,RU,1712658613
31,edgewater,28.9889,-80.9023,19.01,87,100,3.46,US,1712658495
32,ribeira grande,38.5167,-28.7,17.22,94,75,7.15,PT,1712658613
33,oriximina,-1.7656,-55.8661,25.18,92,100,1.6,BR,1712658613
34,yellowknife,62.456,-114.3525,-3.71,97,20,1.54,CA,1712657911
35,quellon,-43.1167,-73.6167,6.42,71,4,5.17,CL,1712658613
36,harstad,68.799,16.5293,4.79,95,100,7.6,NO,1712658614
37,al jawf,29.5,38.75,24.73,21,3,3.29,SA,1712658614
38,bemidji,47.4736,-94.8803,3.28,100,0,2.06,US,1712658614
39,port mathurin,-19.6833,63.4167,27.04,72,45,2.63,MU,1712658614
40,arraial do cabo,-22.9661,-42.0278,24.92,83,75,0.51,BR,1712658614
